frequency[Hz],Re[Ohm],Im[Ohm]
100.000761449337,460708.03125,12932.8525390625
114.81461115181446,464334.4375,8376.462890625
131.82288967072964,478719.90625,-22354.255859375
151.3573806732893,507655.53125,-5605.30322265625
173.77897165715694,492956.46875,-6913.60546875
199.52422007918358,494741.4375,22100.654296875
229.08789105713367,495693.875,-2267.049560546875
263.0287781357765,495267.28125,-28348.798828125
301.9929863512516,503482.34375,19358.53125
346.737215295434,504253.0,-17988.0546875
398.105476051569,474801.9375,-46993.73828125
457.0872988551855,480574.90625,-11480.083984375
524.8060915619135,450525.875,-27184.626953125
602.5598850101233,509936.875,-27686.4453125
691.8329745531082,488409.96875,-30557.4921875
794.330844655633,462916.75,-31115.177734375
912.00927272439,451167.40625,-42155.80859375
1047.126716002822,488700.96875,7014.7509765625
1202.2617738693953,507710.03125,-31848.556640625
1380.3830370306969,511568.25,-27567.23046875
1584.8956536501646,492210.0625,-66147.546875
1819.6995370090008,477338.3125,-23990.427734375
2089.2941392958164,482215.0,-81009.4375
2398.8308385014534,483756.65625,-53353.24609375
2754.2293537408113,423900.21875,-94482.34375
3162.2766982764006,509748.96875,-117335.2265625
3630.778519436717,452780.03125,-91730.3125
4168.692976236343,414192.125,-128613.125
4786.299541592598,404430.0625,-170323.875
5495.408549904823,389360.0,-156669.6875
6309.570744633675,390406.375,-138664.40625
7244.362495839596,354578.75,-184609.046875
8317.636093124747,354224.0625,-207053.109375
9549.9271992594,289767.40625,-202117.796875
10964.786633849144,262748.125,-187923.3125
12589.246034622192,271218.1875,-212623.359375
14454.405754804611,228036.53125,-228540.671875
16595.865599811077,203864.96875,-217710.515625
19054.60376292467,178799.359375,-227240.90625
21877.605468034744,153986.9375,-181447.203125
25118.86414140463,133221.015625,-166401.328125
28840.312734246254,121802.84375,-169826.890625
33113.10429126024,93725.3671875,-142118.8125
38018.93908530474,77526.828125,-136135.984375
43651.57801657915,64634.51953125,-120760.3515625
50118.728540837765,61176.69140625,-128254.09375
57544.00044679642,44129.24609375,-98244.140625
66069.35057789087,35076.9453125,-85863.609375
75857.76038467884,43634.19921875,-88856.0
87096.35585546494,35259.96875,-83617.9921875
99999.99310821295,29140.607421875,-69365.53125
