frequency[Hz],Re[Ohm],Im[Ohm]
100.000761449337,364470.46875,-15546.09375
114.81461115181446,386831.59375,-42839.8125
131.82288967072964,391969.375,-3155.093505859375
151.3573806732893,393136.5,-32798.375
173.77897165715694,405559.9375,-38406.37890625
199.52422007918358,385990.5,-46830.95703125
229.08789105713367,437828.34375,-43281.8828125
263.0287781357765,421089.40625,3085.847900390625
301.9929863512516,403939.78125,-83353.375
346.737215295434,372463.9375,-92368.6015625
398.105476051569,353730.375,-81828.8046875
457.0872988551855,349075.84375,-83219.9140625
524.8060915619135,381060.875,-136770.46875
602.5598850101233,358910.09375,-107574.3671875
691.8329745531082,281071.25,-102433.25
794.330844655633,306398.75,-95980.5546875
912.00927272439,307831.8125,-143126.296875
1047.126716002822,260565.578125,-143338.75
1202.2617738693953,247718.546875,-175982.359375
1380.3830370306969,248798.265625,-172595.609375
1584.8956536501646,218731.34375,-153749.375
1819.6995370090008,205803.09375,-160873.25
2089.2941392958164,193865.375,-166368.5
2398.8308385014534,170719.25,-148612.3125
2754.2293537408113,151665.71875,-131815.609375
3162.2766982764006,134717.6875,-147262.890625
3630.778519436717,106062.3828125,-140072.359375
4168.692976236343,106639.703125,-114340.6015625
4786.299541592598,84997.2890625,-120179.2734375
5495.408549904823,71238.921875,-109047.6171875
6309.570744633675,62636.93359375,-97701.8125
7244.362495839596,56037.15234375,-88342.046875
8317.636093124747,52361.85546875,-79040.7734375
9549.9271992594,44502.984375,-80855.140625
10964.786633849144,31291.76953125,-71293.7734375
12589.246034622192,33400.19140625,-57390.89453125
14454.405754804611,29948.359375,-53021.0546875
16595.865599811077,24439.677734375,-48457.66015625
19054.60376292467,22187.91015625,-42250.21875
21877.605468034744,21228.5390625,-37082.96484375
25118.86414140463,17492.646484375,-33584.171875
28840.312734246254,16198.396484375,-26830.076171875
33113.10429126024,16153.1826171875,-23892.62109375
38018.93908530474,14467.166015625,-20628.201171875
43651.57801657915,13624.55078125,-17782.87890625
50118.728540837765,12586.4951171875,-16997.8515625
57544.00044679642,13217.919921875,-15334.4775390625
66069.35057789087,12636.9267578125,-13012.087890625
75857.76038467884,10844.0908203125,-13177.220703125
87096.35585546494,11060.271484375,-11277.3251953125
99999.99310821295,9919.740234375,-10654.94140625
