frequency[Hz],Re[Ohm],Im[Ohm]
10.0000761449337,99156.2578125,-6133.31103515625
11.041993275284767,98981.859375,-7264.55126953125
12.188684195280075,98590.1640625,-8363.59765625
13.457611203193665,98918.1328125,-8263.1005859375
14.860415831208229,98431.265625,-9483.7861328125
16.408739611506462,98147.8046875,-10742.3251953125
18.114224076271057,98010.5546875,-11585.9609375
20.0001522898674,97672.3125,-12817.8818359375
22.083986550569534,97145.7421875,-13231.8828125
24.383189156651497,97014.03125,-14988.50390625
26.921043172478676,96115.9296875,-16990.923828125
29.726652428507805,95734.8046875,-17288.220703125
32.817479223012924,96611.046875,-20076.1015625
36.23426891863346,94579.65625,-24213.50390625
40.00612534582615,95277.8671875,-21591.537109375
44.173793867230415,93731.8671875,-21674.314453125
48.77219907939434,85499.3671875,-42989.6640625
53.8479071110487,91127.015625,-21574.0625
59.45330485701561,89071.4921875,-31127.611328125
65.64659997820854,85584.875,-36996.140625
72.48017936944962,80747.8984375,-38245.0234375
80.02389222383499,80991.953125,-40468.21484375
88.35340850055218,78447.578125,-46683.46484375
97.55021892488003,65056.609375,-41197.8515625
107.70745575428009,70276.484375,-49915.46875
118.91825124621391,63975.23828125,-49829.94921875
131.29902072250843,58679.56640625,-49172.56640625
144.97200027108192,51372.69140625,-42238.9609375
160.05942597985268,53844.31640625,-42240.12890625
176.7242792993784,43848.44921875,-49188.125
195.12372091412544,38809.33203125,-45539.25390625
215.43819457292557,34316.7109375,-47054.0546875
237.86560632288456,30428.896484375,-45984.1640625
262.6271452754736,25965.65625,-43845.46875
289.96728360652924,23107.576171875,-41374.39453125
320.15377655625343,20533.50390625,-40767.02734375
353.48348319530487,16099.0888671875,-36717.86328125
390.28236642479897,14040.7666015625,-34317.5
430.91713450849056,12543.705078125,-32245.541015625
475.7777787744999,10070.99609375,-29577.8046875
525.3066774457693,8339.7158203125,-27336.44921875
579.9927748739719,6953.0419921875,-23991.55859375
640.3715815395117,6159.203125,-22855.826171875
707.0368155837059,5019.6904296875,-20487.818359375
780.6462235748768,4266.400390625,-18607.271484375
861.91575974226,3797.190673828125,-17747.46875
951.64286904037,3106.97314453125,-15621.634765625
1050.7123079150915,2543.904541015625,-13915.6513671875
1160.0961443036795,2152.89599609375,-12593.0302734375
1280.871219933033,2076.04052734375,-11981.52734375
1414.2133295536041,1717.5625,-10591.6064453125
1561.4379663020372,1475.8267822265625,-9593.4853515625
1723.9945009350777,1414.5509033203125,-9072.3505859375
1903.472002595663,1211.2310791015625,-8046.50341796875
2101.62834264338,1036.9000244140625,-7091.34814453125
2320.4192984849215,934.1339721679688,-6394.68505859375
2561.9869120419025,864.5734252929688,-5805.68896484375
2828.7002351135015,808.1021728515625,-5295.5322265625
3123.184433206916,787.5462036132812,-4932.103515625
3448.320785537362,746.673095703125,-4488.3076171875
3807.310713455081,694.025146484375,-4014.121826171875
4203.664138913155,658.0349731445312,-3625.000732421875
4641.286795958877,640.8240966796875,-3312.45458984375
5124.46858920157,619.6900024414062,-3006.929443359375
5657.953443005681,593.3565673828125,-2692.553466796875
6246.96840532124,589.2772216796875,-2476.26904296875
6897.310959175229,572.0689086914062,-2228.286376953125
7615.354843437672,560.5557861328125,-2016.3111572265625
8408.14900584519,558.5081176757812,-1845.98583984375
9283.475810661912,545.9082641601562,-1658.9495849609375
10249.926708638668,540.2423095703125,-1504.301025390625
11316.989548504353,537.8075561523438,-1369.7354736328125
12495.159171521664,533.0840454101562,-1240.3868408203125
13795.960694551468,525.7354125976562,-1117.0963134765625
15232.176519930363,523.1587524414062,-1013.4431762695312
16817.939467728138,522.5360717773438,-921.8230590820312
18568.75605881214,518.02001953125,-831.9851684570312
20501.85576081276,517.4159545898438,-755.9501953125
22636.190988123417,515.5711669921875,-684.9207763671875
24992.739781737328,514.21533203125,-620.6446533203125
27594.598941504955,512.893310546875,-562.616455078125
30467.333272099495,511.77081298828125,-509.808349609375
33639.115281403065,511.3168640136719,-462.4598388671875
37141.12099260092,509.87152099609375,-418.83343505859375
41007.669642567635,509.3397521972656,-379.7073974609375
45276.78247541189,508.3796691894531,-343.9551696777344
49990.29915779829,508.10699462890625,-311.78759765625
55194.529704749584,507.965576171875,-282.9072265625
60940.55715948343,507.2567443847656,-256.3095397949219
67284.74982082844,506.8233642578125,-232.2507781982422
74289.43645209074,506.11785888671875,-210.5969696044922
82023.30209314823,505.7556457519531,-190.60964965820312
90562.34266608953,505.4991760253906,-172.76284790039062
99990.30735343695,505.27227783203125,-156.67453002929688
110399.79290217161,504.9658203125,-141.8197479248047
121892.89554953574,504.8111267089844,-128.53170776367188
134582.51487463713,504.40045166015625,-116.41193389892578
148593.21527183056,504.8052062988281,-105.87842559814453
164062.48323619366,503.86102294921875,-95.30856323242188
181142.24076271057,503.72369384765625,-86.1671142578125
200000.00949949026,503.48077392578125,-77.96649169921875
